Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1886-07-20-0a3623ed	PressMint-CZ_1886-07-20-0a3623ed.p1	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed	PressMint-CZ_1886-07-20-0a3623ed.p2	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed	PressMint-CZ_1886-07-20-0a3623ed.p381	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed	PressMint-CZ_1886-07-20-0a3623ed.p382	1886-07-20	Národní listy							Czech		
