Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.p1	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.p2	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.p382	1886-07-20	Národní listy							Czech		
PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea	PressMint-CZ_1886-07-20-0a3623ed-435e-11dd-b505-00145e5790ea.p383	1886-07-20	Národní listy							Czech		
