Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1861-01-01-b8cf84b6	PressMint-CZ_1861-01-01-b8cf84b6.p1	1861-01-01	Národní listy							čeština		
PressMint-CZ_1861-01-01-b8cf84b6	PressMint-CZ_1861-01-01-b8cf84b6.p2	1861-01-01	Národní listy							čeština		
PressMint-CZ_1861-01-01-b8cf84b6	PressMint-CZ_1861-01-01-b8cf84b6.p96	1861-01-01	Národní listy							čeština		
PressMint-CZ_1861-01-01-b8cf84b6	PressMint-CZ_1861-01-01-b8cf84b6.p97	1861-01-01	Národní listy							čeština		
