Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.p1	1861-01-01	Národní listy							Czech		
PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.p2	1861-01-01	Národní listy							Czech		
PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.p96	1861-01-01	Národní listy							Czech		
PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea	PressMint-CZ_1861-01-01-b8cf84b6-435d-11dd-b505-00145e5790ea.p97	1861-01-01	Národní listy							Czech		
