Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-UA_1910-10-29-8330D80B	PressMint-UA_1910-10-29-8330D80B.ana.p1	1910-10-29	Рада	Галичина			245			Ukrainian		
PressMint-UA_1910-10-29-8330D80B	PressMint-UA_1910-10-29-8330D80B.ana.p2	1910-10-29	Рада	Галичина			245			Ukrainian		
PressMint-UA_1910-10-29-8330D80B	PressMint-UA_1910-10-29-8330D80B.ana.p9	1910-10-29	Рада	Галичина			245			Ukrainian		
PressMint-UA_1910-10-29-8330D80B	PressMint-UA_1910-10-29-8330D80B.ana.p10	1910-10-29	Рада	Галичина			245			Ukrainian		
