Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6	PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6.p1	1914-12-31	Moravská orlice							čeština		
PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6	PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6.p2	1914-12-31	Moravská orlice							čeština		
PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6	PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6.p139	1914-12-31	Moravská orlice							čeština		
PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6	PressMint-CZ_1914-12-31-dda72f90-c894-11de-b208-000d606f5dc6.p140	1914-12-31	Moravská orlice							čeština		
