Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1914-12-30-944bce70	PressMint-CZ_1914-12-30-944bce70.p1	1914-12-30	Moravská orlice							Czech		
PressMint-CZ_1914-12-30-944bce70	PressMint-CZ_1914-12-30-944bce70.p2	1914-12-30	Moravská orlice							Czech		
PressMint-CZ_1914-12-30-944bce70	PressMint-CZ_1914-12-30-944bce70.p121	1914-12-30	Moravská orlice							Czech		
PressMint-CZ_1914-12-30-944bce70	PressMint-CZ_1914-12-30-944bce70.p122	1914-12-30	Moravská orlice							Czech		
