Text_ID	ID	Date	Newspaper	Article	Publisher	Volume	Issue	URN	URL	Lang	Quality	Image	
PressMint-CZ_1914-12-31-dda72f90	PressMint-CZ_1914-12-31-dda72f90.p1	1914-12-31	Moravská orlice							Czech		
PressMint-CZ_1914-12-31-dda72f90	PressMint-CZ_1914-12-31-dda72f90.p2	1914-12-31	Moravská orlice							Czech		
PressMint-CZ_1914-12-31-dda72f90	PressMint-CZ_1914-12-31-dda72f90.p139	1914-12-31	Moravská orlice							Czech		
PressMint-CZ_1914-12-31-dda72f90	PressMint-CZ_1914-12-31-dda72f90.p140	1914-12-31	Moravská orlice							Czech		
